1971.01.04,0:00,Open,High,Low,Close,Volume,Log Return,Market Return,R1,R2,R3,R4,R5,R6,MA200,Prediction,Trend,Predlist
2020-01-02,0:00,1.12132,1.12143,1.11635,1.11722,30404,-0.003859284,-0.003859284,0.000210565,0.000410282,8.59E-05,1.16E-06,-4.35E-05,-9.54E-05,1.1141962,0,1,-1
2020-01-03,0:00,1.11722,1.11797,1.1125,1.11558,39449,-0.001469008,-0.001469008,0.000387094,0.000352176,4.68E-05,1.62E-05,-4.24E-05,-0.000102394,1.1141487,1,1,-1
2020-01-06,0:00,1.11646,1.12054,1.11571,1.11968,32448,0.003668481,0.003668481,0.000684676,0.00041523,0.000166993,8.10E-05,-1.30E-05,-8.58E-05,1.11413415,0,1,-1
2020-01-07,0:00,1.1196,1.11975,1.11335,1.11526,35909,-0.003955369,-0.003955369,0.000697331,0.000419143,0.000131703,5.69E-05,-2.86E-05,-9.19E-05,1.11410215,0,1,-1
2020-01-08,0:00,1.11529,1.11681,1.11016,1.11053,50619,-0.004250183,-0.004250183,0.000142376,0.000188554,1.06E-05,2.48E-05,-4.77E-05,-0.000109495,1.11404895,0,-1,-1
2020-01-09,0:00,1.11053,1.11203,1.10923,1.11051,32024,-1.80E-05,-1.80E-05,0.00018026,5.95E-05,-1.21E-05,4.77E-06,-4.40E-05,-0.000120591,1.11399985,1,-1,-1
2020-01-10,0:00,1.11051,1.11291,1.1085,1.11212,30181,0.001448734,0.001448734,0.000214235,-3.69E-05,-5.46E-05,3.31E-05,-4.92E-05,-0.000127416,1.11394485,1,-1,-1
2020-01-13,0:00,1.11162,1.11469,1.11127,1.11338,25932,0.00113233,0.00113233,-0.00037831,2.34E-05,-3.16E-05,4.85E-05,-3.82E-05,-0.000112443,1.1139022,0,-1,-1
2020-01-14,0:00,1.11338,1.11444,1.11042,1.11274,31762,-0.000574991,-0.000574991,-0.000636931,4.54E-05,-6.71E-05,-1.01E-05,-3.93E-05,-9.37E-05,1.1138583,1,-1,1
2020-01-15,0:00,1.11284,1.11633,1.11185,1.11495,29102,0.001984119,0.001984119,-0.000589318,2.74E-05,4.00E-05,4.29E-05,-4.97E-05,-9.21E-05,1.1138026,0,1,-1
2020-01-16,0:00,1.11492,1.11726,1.11278,1.11358,30453,-0.00122951,-0.00122951,-0.000326341,-5.79E-05,0.000110941,4.11E-05,-5.59E-05,-0.000119946,1.11374005,0,-1,-1
2020-01-17,0:00,1.11352,1.11425,1.10862,1.10893,28089,-0.004184464,-0.004184464,-0.000597886,-0.000105396,4.24E-05,1.11E-05,-8.19E-05,-0.000120909,1.1136485,1,-1,1
2020-01-20,0:00,1.1092,1.11024,1.10766,1.10944,18552,0.000459797,0.000459797,-0.000918755,-0.000117039,8.07E-05,3.44E-05,-6.99E-05,-0.000123237,1.11357035,0,-1,1
2020-01-21,0:00,1.10934,1.1118,1.10809,1.10819,29051,-0.00112733,-0.00112733,-0.000635951,3.07E-05,0.000114023,8.39E-05,-9.66E-05,-0.000126163,1.11346225,1,-1,1
2020-01-22,0:00,1.10816,1.10983,1.10701,1.1092,30270,0.000910981,0.000910981,-0.000119834,1.13E-05,0.000107936,0.000110963,-9.39E-05,-0.000131167,1.1133571,0,-1,1
2020-01-23,0:00,1.1092,1.11087,1.10363,1.10542,37577,-0.003413682,-0.003413682,-0.000459402,-0.000139571,8.23E-05,7.35E-05,-0.00010106,-0.000151224,1.11324425,0,-1,-1
2020-01-24,0:00,1.10542,1.10617,1.10196,1.10255,32850,-0.002599674,-0.002599674,-0.000864242,-0.000325004,3.67E-05,-8.43E-06,-0.00012057,-0.000159021,1.1131097,0,-1,-1
2020-01-27,0:00,1.10295,1.10375,1.10096,1.10184,33777,-0.000644169,-0.000644169,-0.001041892,-0.000710101,-5.08E-06,-1.41E-05,-9.53E-05,-0.000159397,1.11300365,1,-1,-1
2020-01-28,0:00,1.10185,1.10251,1.09977,1.1022,28331,0.000326673,0.000326673,-0.000951726,-0.000794328,-5.35E-05,-2.27E-06,-9.74E-05,-0.00014312,1.11289525,0,-1,1
2020-01-29,0:00,1.10219,1.10277,1.09922,1.10099,28043,-0.001098407,-0.001098407,-0.001259979,-0.000924648,-0.000112129,-3.43E-05,-0.000110532,-0.000145674,1.1127722,1,-1,1
2020-01-30,0:00,1.10098,1.10393,1.10068,1.10312,34415,0.001932754,0.001932754,-0.000943752,-0.000635046,-8.47E-05,-1.09E-05,-8.76E-05,-0.000144074,1.1126747,1,-1,1
2020-01-31,0:00,1.10313,1.10951,1.10168,1.10943,37949,0.005703841,0.005703841,4.51E-05,-0.000276404,3.97E-05,7.61E-05,-2.61E-05,-0.0001352,1.11264565,0,-1,-1
2020-02-03,0:00,1.10907,1.10927,1.10349,1.10593,35264,-0.00315976,-0.00315976,-0.000316877,-0.000617816,2.17E-06,-4.52E-06,-3.24E-05,-0.000132274,1.11260965,0,-1,1
2020-02-04,0:00,1.1059,1.10642,1.10327,1.10434,32443,-0.001438739,-0.001438739,-0.000348018,-0.000491985,4.57E-05,-2.38E-05,-4.44E-05,-0.000131107,1.11256035,0,-1,-1
2020-02-05,0:00,1.10436,1.10478,1.09935,1.09989,33576,-0.004037697,-0.004037697,-0.000842886,-0.00048136,-2.49E-05,-1.27E-06,-8.40E-05,-0.000141824,1.1124672,0,-1,1
2020-02-06,0:00,1.09989,1.10138,1.09643,1.09827,29014,-0.00147396,-0.00147396,-0.000648914,-0.000554158,-6.67E-05,-8.14E-05,-0.000104208,-0.000162631,1.11235155,0,-1,1
2020-02-07,0:00,1.09827,1.09849,1.09418,1.0943,38494,-0.003621325,-0.003621325,-0.000751079,-0.000807661,-0.000101906,-7.91E-05,-0.000113434,-0.000165405,1.112226,0,-1,-1
2020-02-10,0:00,1.09424,1.09574,1.09076,1.09105,28211,-0.002974354,-0.002974354,-0.000984097,-0.001012995,-0.000177025,-0.000118719,-0.000117933,-0.000171579,1.1120958,1,-1,-1
2020-02-11,0:00,1.09105,1.09247,1.08912,1.09145,30977,0.000366552,0.000366552,-0.00098011,-0.000965918,-0.000183679,-9.50E-05,-0.000130045,-0.000179717,1.111952,0,-1,-1
2020-02-12,0:00,1.09146,1.09255,1.08651,1.08728,31063,-0.003827923,-0.003827923,-0.001253061,-0.00125652,-0.00037466,-0.00010949,-0.000147265,-0.000170952,1.1117895,0,-1,-1
2020-02-13,0:00,1.08716,1.08887,1.08339,1.08408,34413,-0.002947464,-0.002947464,-0.001741083,-0.001342417,-0.000438122,-0.000163315,-0.000158787,-0.000181368,1.1116146,0,-1,1
2020-02-14,0:00,1.08408,1.08612,1.08272,1.08301,29198,-0.000987499,-0.000987499,-0.002410217,-0.001182569,-0.000451735,-0.000102702,-0.000163635,-0.000194217,1.11143445,1,-1,-1
2020-02-17,0:00,1.08397,1.08509,1.08291,1.08346,21012,0.000415422,0.000415422,-0.002052699,-0.001184788,-0.000491574,-7.83E-05,-0.000171556,-0.000190101,1.11124535,0,-1,-1
2020-02-18,0:00,1.08345,1.08372,1.07852,1.07907,34567,-0.004060065,-0.004060065,-0.002314831,-0.001331425,-0.000492103,-0.000138417,-0.00020099,-0.00019357,1.11102405,1,-1,1
2020-02-19,0:00,1.07906,1.08117,1.07821,1.08039,33315,0.001222528,0.001222528,-0.001788809,-0.001315847,-0.000474884,-8.77E-05,-0.00018931,-0.000174294,1.1108156,0,-1,1
2020-02-20,0:00,1.08033,1.08211,1.07775,1.07838,40984,-0.001862172,-0.001862172,-0.00182763,-0.001238272,-0.000563402,-0.000136218,-0.000190594,-0.000175321,1.1106061,1,-1,1
2020-02-21,0:00,1.07841,1.08634,1.07835,1.08474,40454,0.005880412,0.005880412,-0.000877456,-0.000814268,-0.000513297,-0.000102356,-0.000159942,-0.000157593,1.1104298,1,-1,1
2020-02-24,0:00,1.0825,1.0872,1.08049,1.0852,54843,0.000423975,0.000423975,-0.000537623,-0.00076086,-0.00050338,-0.000101766,-0.000145933,-0.000166187,1.1102691,1,-1,1
2020-02-25,0:00,1.08519,1.08901,1.083,1.08806,60638,0.002631992,0.002631992,-0.000311079,-0.000645594,-0.000430421,-8.84E-05,-0.000125205,-0.000162127,1.11013115,1,-1,1
2020-02-26,0:00,1.08806,1.09087,1.08549,1.08807,60645,9.19E-06,9.19E-06,7.26E-05,-0.000590215,-0.000477136,-8.21E-05,-0.000128967,-0.000144145,1.109989,1,-1,-1
2020-02-27,0:00,1.08812,1.10066,1.08771,1.09998,76238,0.010886513,0.010886513,0.00145603,-0.000142527,-0.000268916,3.99E-05,-7.22E-05,-9.18E-05,1.109909,1,-1,-1
2020-02-28,0:00,1.09998,1.10531,1.09508,1.10293,97598,0.002678277,0.002678277,0.001822607,-0.000293805,-0.000150665,5.30E-05,-5.42E-05,-8.47E-05,1.10984895,1,-1,-1
